area,bedrooms,bathrooms,stories,parking,location,age,price
3569,5,4,2,1,Rural,43,418806
2407,3,4,2,2,Urban,40,309615
3204,2,2,2,2,Rural,27,350213
3109,5,2,3,2,Suburban,20,395160
1371,1,4,2,0,Suburban,11,188899
1879,1,4,1,0,Suburban,16,230798
3403,5,1,1,2,Suburban,37,383714
1551,2,3,2,2,Rural,8,217355
2374,3,2,1,0,Rural,33,255105
3276,4,2,1,1,Suburban,43,357788
3242,3,1,3,0,Rural,31,348442
1155,5,2,2,2,Suburban,39,179668
1812,3,4,1,0,Urban,41,224680
3783,1,2,1,1,Rural,41,371653
1656,1,1,2,2,Suburban,44,174384
1395,3,1,1,2,Suburban,32,174785
3052,1,1,1,2,Urban,42,315238
737,4,1,1,3,Urban,19,147924
2332,3,4,1,3,Suburban,0,328585
2802,4,3,3,0,Suburban,5,368505
3091,3,4,3,0,Suburban,9,390747
1383,5,2,2,1,Suburban,12,224524
1549,1,2,2,3,Urban,43,186844
1660,3,4,1,3,Rural,35,212113
3136,4,4,3,1,Urban,19,412340
932,4,4,1,0,Suburban,32,154629
971,1,2,2,2,Rural,12,139533
3829,4,4,2,2,Rural,7,468247
2467,5,1,1,2,Urban,7,334840
3788,4,2,1,0,Suburban,11,444686
1019,3,2,3,3,Suburban,17,178333
2165,1,4,1,2,Rural,35,238159
1571,4,2,2,0,Suburban,8,226697
3242,2,3,1,3,Rural,29,365752
1946,5,4,2,1,Suburban,41,265040
1679,3,1,2,0,Rural,43,179650
1629,2,3,2,1,Urban,9,234458
1423,3,4,2,2,Urban,26,221676
3731,2,2,2,2,Suburban,26,415700
3066,3,3,3,2,Rural,26,362149
1454,2,1,2,0,Urban,0,203782
2122,1,1,1,3,Suburban,40,223862
1417,3,1,2,1,Suburban,12,194349
1490,3,3,3,3,Suburban,28,221468
3317,4,1,3,1,Rural,42,360921
1455,3,4,1,0,Suburban,19,205087
2109,4,3,1,3,Suburban,34,268553
2393,1,1,2,1,Suburban,32,255008
3855,2,2,2,0,Rural,33,401122
3863,5,3,2,1,Rural,5,472979
1832,2,2,2,0,Suburban,15,227540
2196,1,1,2,1,Suburban,39,223947
3233,1,2,1,3,Urban,47,341726
3537,3,2,3,3,Suburban,12,428886
2241,4,1,3,2,Rural,18,282061
1954,5,3,3,1,Urban,40,274437
2759,1,4,3,3,Urban,26,352297
2571,1,3,2,2,Urban,36,302095
2573,5,2,3,0,Rural,37,303400
906,5,2,1,2,Rural,30,144345
3571,1,3,2,1,Rural,46,367843
2615,4,3,1,2,Suburban,15,335702
3842,4,3,3,3,Urban,26,475816
1781,2,1,2,3,Rural,22,217893
3282,3,2,3,2,Rural,2,398669
3625,2,4,1,1,Urban,43,399937
2552,3,2,1,1,Rural,32,283243
601,4,3,3,3,Rural,1,162035
3483,5,2,2,3,Suburban,19,429812
1323,5,3,3,2,Suburban,41,207698
1664,4,3,3,2,Rural,17,247216
1528,3,2,3,0,Urban,26,214762
2163,5,2,1,1,Rural,43,248589
632,5,4,2,1,Suburban,15,161596
2964,1,2,2,1,Rural,50,292746
2047,1,4,1,0,Urban,10,268129
3781,5,3,1,3,Suburban,50,436507
1256,2,1,3,3,Urban,16,198231
2246,5,3,1,1,Suburban,27,295633
1437,4,1,1,1,Suburban,10,198975
3756,1,3,1,0,Urban,2,429772
3427,2,3,1,3,Suburban,15,402708
1014,2,3,3,3,Rural,24,152877
684,4,2,3,1,Suburban,24,139434
2890,1,3,3,2,Suburban,24,338057
2659,4,2,2,3,Suburban,43,322776
3064,5,4,3,0,Suburban,19,401221
1265,5,1,1,2,Rural,45,158692
3112,5,4,2,0,Suburban,47,373313
3835,1,4,2,0,Suburban,39,411563
1455,4,1,3,1,Urban,24,217653
724,3,2,3,3,Rural,17,132634
2355,2,1,1,0,Urban,50,237318
2249,3,4,1,3,Rural,25,283942
3929,3,3,1,0,Suburban,7,457926
3740,1,1,2,1,Rural,17,397776
3796,2,1,1,1,Urban,50,393791
2415,5,2,3,1,Urban,33,321888
848,5,1,1,3,Suburban,6,165993
2775,1,4,1,2,Suburban,6,340023
3794,4,1,1,0,Urban,46,412791
3683,4,1,1,3,Suburban,24,426494
2300,1,3,3,1,Urban,12,295984
883,5,3,1,0,Suburban,17,165448
2765,2,4,2,3,Rural,27,330877
2401,5,1,1,2,Urban,19,314344
1045,4,2,1,0,Rural,6,157031
3883,4,1,3,1,Suburban,34,434475
1069,5,4,2,2,Suburban,28,191728
2333,5,3,3,1,Suburban,41,302529
1526,1,2,2,0,Rural,20,174919
1045,4,3,1,2,Suburban,17,173561
3430,1,4,2,3,Rural,12,405771
1122,3,1,2,3,Urban,38,160600
682,4,1,1,2,Rural,42,92738
2448,4,1,2,2,Suburban,8,319572
2961,2,4,3,3,Rural,50,329151
1038,5,4,3,2,Suburban,42,187929
1183,2,2,1,2,Rural,31,143774
3753,2,2,1,3,Rural,30,401183
1458,3,2,1,2,Rural,40,168861
869,4,4,2,1,Rural,13,161062
2768,5,3,3,3,Suburban,49,344947
3987,3,2,3,1,Suburban,21,457018
1726,2,3,3,3,Suburban,22,242158
1851,4,4,2,0,Urban,17,277059
884,5,4,3,0,Urban,0,214911
3308,1,2,2,0,Suburban,43,339822
3517,5,2,1,1,Urban,7,439121
1651,1,2,1,3,Suburban,1,220444
2355,4,2,1,3,Urban,32,296508
2951,5,2,2,0,Suburban,47,336095
1526,3,3,2,0,Urban,44,194332
644,2,1,2,2,Suburban,34,91447
3637,4,4,2,1,Rural,27,432416
2269,4,2,1,1,Suburban,12,289140
3609,2,1,3,1,Rural,14,400656
3279,3,4,1,1,Urban,10,414735
1094,2,4,3,1,Suburban,18,178930
3170,1,4,1,2,Suburban,0,385234
604,1,4,2,0,Rural,23,93483
1873,5,1,2,1,Urban,50,232099
3282,1,2,3,0,Urban,44,347579
3064,3,3,2,0,Urban,27,368932
1843,5,4,1,0,Urban,21,276899
2511,4,1,2,2,Urban,22,321234
831,2,2,2,1,Urban,43,110606
3994,5,1,3,2,Suburban,33,464343
811,3,4,1,0,Urban,33,133307
3579,3,2,2,3,Rural,40,393568
2373,3,3,1,0,Suburban,34,273327
3313,2,1,2,2,Suburban,5,383920
2064,5,4,3,2,Rural,1,320978
3245,3,1,2,2,Suburban,12,384516
3374,1,4,2,2,Rural,50,348679
3392,4,1,3,1,Suburban,17,405946
3908,5,2,3,2,Urban,38,468319
3057,4,4,1,1,Urban,50,362445
1888,3,4,2,1,Rural,50,215986
3352,1,3,1,1,Suburban,34,354588
2368,4,4,1,2,Suburban,46,290850
3758,4,2,1,3,Urban,34,437020
866,4,3,2,1,Suburban,6,176241
3726,1,2,2,3,Urban,1,446210
1325,4,2,2,3,Suburban,5,221446
1481,5,3,1,2,Suburban,22,226989
1418,3,2,3,3,Urban,37,207077
946,3,4,2,1,Suburban,15,166453
2225,2,2,3,2,Rural,38,247034
2538,1,1,1,0,Suburban,10,278208
3323,1,3,1,0,Suburban,29,353503
3521,5,2,2,0,Rural,32,397360
2203,1,3,2,3,Suburban,25,264040
2850,1,3,1,2,Rural,24,310988
3088,4,2,2,3,Rural,22,375074
1655,5,2,1,2,Urban,12,259466
831,4,1,1,2,Suburban,2,155273
2453,5,2,3,2,Rural,37,304254
2920,3,1,1,0,Urban,14,339239
1489,2,4,3,2,Rural,44,188902
925,1,4,1,0,Rural,21,124298
3582,1,2,1,3,Rural,30,372361
3269,5,3,3,0,Urban,30,409232
2364,1,2,3,1,Rural,48,240174
1203,5,1,2,1,Urban,46,166829
2711,1,3,3,0,Suburban,6,326829
2345,1,4,1,3,Suburban,9,303960
1269,3,1,1,2,Urban,41,164504
1058,5,3,2,0,Rural,50,143500
1924,5,2,3,2,Urban,42,267701
1590,5,2,2,2,Urban,39,228310
3676,1,3,2,0,Suburban,6,416982
1997,3,2,1,3,Suburban,23,253112
2419,5,4,2,0,Rural,19,323199
2597,3,4,2,3,Urban,35,339079
2459,1,4,2,2,Suburban,48,272435
2632,2,4,1,1,Rural,25,298914
1308,3,3,1,2,Suburban,20,190632
1238,3,1,3,2,Urban,41,176239
2320,5,2,1,2,Suburban,33,295646
3028,2,3,2,3,Suburban,12,370382
1200,1,3,2,2,Urban,47,149253
3783,1,3,1,1,Rural,17,411377
1035,1,3,2,3,Urban,39,150223
3668,5,4,1,2,Rural,1,459842
1794,1,2,3,0,Urban,17,228549
3417,4,3,2,0,Urban,24,413741
2029,4,4,1,1,Urban,38,273076
1168,3,3,3,0,Urban,18,195821
2088,2,3,3,0,Suburban,34,246079
750,4,1,2,0,Suburban,4,140604
2882,2,2,2,3,Suburban,20,340381
2747,1,4,1,3,Rural,17,318517
988,2,3,2,1,Suburban,6,169250
3305,1,3,1,2,Urban,6,393672
1662,1,4,2,0,Suburban,38,198171
2926,2,3,1,0,Rural,2,343005
1070,1,2,3,0,Suburban,46,115498
1317,4,3,3,3,Urban,47,209102
3152,4,1,2,2,Rural,11,379345
1554,1,2,1,1,Suburban,4,200230
2127,5,3,1,1,Rural,6,289581
2772,3,3,3,1,Urban,28,347949
3632,2,4,2,0,Rural,1,426624
3457,5,3,1,1,Urban,25,428990
2157,5,2,2,2,Suburban,16,298369
2197,5,1,2,3,Urban,12,318655
1538,1,1,1,0,Suburban,19,166316
1438,5,4,3,1,Suburban,20,244847
633,5,2,2,2,Rural,32,118974
2417,5,3,3,3,Rural,44,305855
2090,1,2,3,1,Rural,47,213761
636,5,4,1,2,Rural,23,135364
2776,1,3,3,1,Rural,29,312649
956,4,4,3,2,Rural,44,157247
2739,1,3,3,0,Suburban,4,337455
770,5,2,1,3,Urban,26,163317
1562,1,3,3,3,Urban,28,214195
3089,5,1,3,2,Urban,0,417928
2522,4,3,3,0,Rural,6,326851
868,4,4,2,3,Suburban,21,176264
1287,5,1,1,0,Urban,46,168066
3765,5,1,1,3,Suburban,29,439874
3304,1,3,3,0,Suburban,43,349490
789,5,1,3,0,Urban,37,136115
1273,3,4,3,3,Rural,25,197692
3502,5,4,3,0,Suburban,25,433423
1745,2,1,1,1,Rural,20,194454
946,2,2,1,1,Urban,39,125258
2352,5,3,1,0,Rural,41,271925
1754,2,2,3,1,Urban,2,256723
3950,5,2,2,3,Urban,32,480830
2329,4,3,1,2,Urban,44,287905
1562,3,2,1,2,Suburban,7,224966
606,4,2,2,2,Rural,43,96262
1048,1,1,2,3,Rural,37,111411
3873,4,4,1,3,Urban,10,496243
3241,4,1,2,0,Rural,50,340038
663,2,1,1,3,Urban,31,107693
2262,3,2,3,1,Urban,0,316487
2988,2,1,2,2,Suburban,12,352131
2670,1,4,3,1,Rural,20,314138
2301,3,2,2,0,Suburban,41,259531
3203,2,2,3,2,Urban,6,406238
1464,5,2,2,1,Rural,22,205200
2771,5,1,3,0,Urban,50,321460
2417,4,3,3,3,Urban,50,315600
3310,5,1,1,3,Rural,46,365823
2813,1,4,3,2,Rural,47,307000
2668,3,1,3,3,Urban,39,324557
3186,3,4,1,3,Urban,37,384487
3462,1,1,3,1,Suburban,28,374003
3094,2,3,3,2,Urban,23,385655
2116,3,2,2,2,Suburban,50,245509
623,5,3,2,1,Urban,50,126536
1494,1,3,2,2,Urban,11,212023
2829,1,4,3,3,Suburban,42,324051
3145,4,4,1,1,Rural,19,378520
2152,2,2,2,3,Rural,40,244591
1958,2,4,1,2,Suburban,44,231302
1523,2,1,3,0,Urban,17,206404
854,5,2,1,0,Suburban,39,126531
1538,2,3,3,1,Rural,29,189853
3167,1,1,2,3,Urban,33,355004
2470,3,4,2,2,Urban,32,324316
3726,1,4,2,1,Rural,19,414091
2609,5,2,1,3,Rural,23,323572
646,1,3,3,2,Rural,23,102557
3798,2,3,2,2,Suburban,42,419495
2591,2,1,3,2,Suburban,0,330224
1234,2,2,2,0,Urban,39,156730
2182,3,4,1,2,Suburban,0,304100
1906,2,2,3,0,Rural,33,218814
2233,3,1,3,3,Rural,24,278156
3593,2,3,1,1,Suburban,29,395109
2452,1,1,1,2,Rural,33,244550
2485,5,1,3,3,Rural,7,337965
3452,3,4,1,1,Suburban,26,407033
2552,3,1,3,0,Suburban,41,287327
3917,3,1,2,0,Rural,1,445691
687,5,4,3,3,Urban,27,180283
1523,2,4,1,0,Rural,26,190079
1980,3,1,1,1,Suburban,8,253169
1687,1,3,3,2,Rural,48,190256
2265,4,1,3,2,Suburban,5,313778
2976,3,4,1,3,Urban,33,369097
3888,2,4,1,2,Suburban,24,439640
2123,3,4,3,2,Rural,12,295434
2128,5,4,1,3,Rural,34,282352
2706,2,4,1,3,Rural,29,314041
3201,2,4,3,1,Rural,37,359390
1411,5,3,2,2,Rural,1,237228
783,3,1,2,3,Rural,49,95920
1137,5,2,1,1,Rural,25,169891
2176,2,2,3,0,Urban,15,275761
2973,5,2,3,3,Suburban,26,381386
1121,5,1,2,2,Urban,36,175182
1185,5,4,3,0,Urban,0,239096
1465,1,2,2,0,Suburban,35,159095
3899,4,1,1,3,Urban,39,441550
900,3,2,2,0,Rural,4,148730
3670,3,2,2,0,Suburban,30,409457
3588,1,1,3,3,Rural,6,409065
1316,4,4,2,1,Suburban,39,198251
1018,4,3,2,0,Rural,50,131519
2689,1,4,2,2,Urban,4,350862
821,3,2,3,0,Rural,39,111315
1293,5,1,2,3,Suburban,20,201888
3053,4,4,1,0,Urban,12,392377
1034,5,4,2,3,Rural,45,169376
1594,1,2,1,0,Rural,33,155065
3127,5,3,1,0,Rural,35,363486
908,1,1,2,2,Urban,45,107585
3998,5,3,3,0,Urban,45,474194
3408,4,1,1,1,Urban,13,404249
3750,3,3,1,2,Suburban,41,410316
3209,3,3,2,0,Urban,43,368130
712,2,3,3,1,Urban,34,129503
2485,4,3,1,1,Rural,23,298019
988,3,2,2,0,Urban,47,134108
3693,3,3,2,3,Suburban,40,423384
2452,4,1,2,0,Urban,15,315218
1100,5,1,1,2,Rural,45,142137
3691,4,3,3,0,Rural,39,410871
1044,2,3,3,3,Rural,28,159653
2006,4,3,3,2,Rural,30,268752
2635,5,1,2,0,Rural,27,312294
2672,3,4,1,2,Suburban,3,353272
772,5,2,1,1,Rural,12,138324
3991,4,4,2,3,Urban,46,474434
702,5,2,1,1,Urban,43,127425
2020,3,3,2,2,Suburban,20,266307
2974,5,2,2,2,Suburban,35,360906
730,2,3,3,1,Rural,14,129602
2107,1,4,1,3,Rural,31,245089
3083,5,1,3,0,Rural,24,366393
2500,4,1,2,3,Rural,24,307348
926,2,4,1,3,Rural,19,147789
3890,4,4,3,1,Urban,45,464721
3069,2,4,2,1,Rural,46,336561
825,1,3,3,0,Suburban,25,118426
3800,1,4,2,3,Suburban,11,447337
2112,2,2,2,1,Suburban,42,237085
3694,4,2,2,0,Rural,44,393583
995,4,4,2,1,Suburban,7,190072
1883,1,3,2,0,Urban,19,241955
670,2,4,3,2,Suburban,8,149808
3893,4,2,1,3,Urban,41,447411
2332,3,2,3,0,Rural,19,279817
3772,4,4,2,2,Rural,5,469119
2331,3,3,3,1,Suburban,8,310480
3427,5,3,2,1,Suburban,7,435954
3368,2,1,3,1,Urban,26,382615
2759,5,3,1,1,Rural,3,359437
1400,3,3,2,2,Suburban,37,187919
2543,3,3,1,2,Urban,4,343972
3382,2,3,1,2,Urban,49,375169
3678,4,1,3,0,Suburban,1,440912
3609,1,4,2,0,Rural,13,407541
3047,2,2,3,3,Urban,13,380966
3095,4,1,3,1,Suburban,33,361300
1749,2,1,1,0,Urban,43,184834
1868,1,1,2,2,Suburban,25,217923
1965,3,3,3,1,Rural,36,238465
720,5,2,2,0,Suburban,48,110353
2977,3,3,3,0,Urban,39,351176
2748,3,1,1,2,Suburban,46,289105
3467,1,2,2,3,Suburban,10,400640
2356,2,4,2,0,Suburban,14,296974
1580,2,3,3,0,Urban,20,219533
627,5,3,3,0,Rural,36,116729
1823,5,3,3,2,Urban,25,283626
3919,4,3,3,0,Suburban,10,477336
3245,2,1,2,0,Rural,19,345881
1289,3,4,2,2,Suburban,41,179235
1461,4,3,3,0,Rural,18,210453
2748,1,3,1,1,Rural,27,292123
725,5,2,2,0,Urban,15,159502
713,4,3,1,2,Suburban,27,131805
3531,4,1,1,0,Suburban,21,401674
3641,3,3,2,3,Rural,34,416011
2672,1,1,2,1,Suburban,37,272720
2085,4,2,1,0,Suburban,26,256441
2941,1,2,3,1,Urban,50,312388
3560,3,3,3,1,Suburban,11,434972
1147,5,3,1,1,Urban,18,198876
3253,2,3,3,2,Urban,41,379981
2502,3,4,2,0,Suburban,5,329874
3541,1,1,3,0,Rural,13,380797
2139,2,4,2,0,Rural,42,238667
2259,5,3,1,1,Urban,29,306242
1254,1,3,2,1,Rural,29,145383
2911,2,3,2,0,Suburban,5,351129
967,4,3,2,3,Suburban,25,172825
3350,1,2,1,1,Suburban,18,360760
1349,1,4,1,1,Urban,12,196231
1610,3,2,1,0,Suburban,10,213928
1017,1,2,1,1,Urban,8,153033
3270,5,3,1,3,Suburban,1,432852
1945,3,4,2,2,Urban,7,292856
3427,4,3,2,3,Rural,15,420893
2252,2,2,3,2,Suburban,22,284136
2597,1,1,1,1,Rural,10,283379
1961,5,3,1,3,Rural,28,263040
3070,3,3,3,1,Suburban,32,361382
2144,2,1,1,3,Suburban,32,238534
2197,5,2,1,3,Urban,25,299551
2151,5,1,2,2,Urban,35,284110
1296,3,3,1,1,Rural,19,172951
1115,4,3,3,2,Rural,27,174736
3515,4,3,2,2,Urban,33,428307
2239,2,1,2,0,Urban,16,265641
607,5,3,3,1,Rural,15,144872
899,2,3,3,3,Urban,1,190595
1119,3,1,3,0,Rural,38,129834
3381,3,2,2,3,Rural,30,382160
2231,5,4,3,3,Urban,22,339290
1967,1,4,1,0,Suburban,10,244781
3604,5,3,1,2,Urban,38,429203
2862,1,3,1,2,Rural,6,328946
1257,1,3,1,3,Rural,10,171949
1225,4,4,2,0,Urban,20,208540
1413,4,3,2,2,Suburban,47,187442
2275,5,3,2,2,Urban,9,340995
3501,1,3,2,3,Suburban,32,395861
1342,1,1,2,0,Urban,22,166113
2127,5,4,1,1,Suburban,15,296856
3020,4,4,3,0,Suburban,18,389136
1776,4,3,1,1,Urban,33,243877
1076,4,1,3,0,Rural,35,145516
1493,2,1,3,2,Urban,32,193825
2932,2,1,2,1,Rural,6,336400
1541,3,2,1,2,Suburban,44,188027
2406,2,3,2,1,Urban,47,271774
2234,1,1,3,0,Rural,43,219008
810,3,3,3,3,Urban,32,163871
3116,5,1,2,2,Rural,41,356858
1627,2,1,1,0,Urban,39,177880
3782,3,4,2,0,Urban,13,460876
955,4,4,3,0,Suburban,33,168841
654,5,3,3,0,Suburban,12,160856
3387,1,4,1,2,Rural,0,392772
1318,4,4,3,0,Rural,4,218990
3902,5,4,1,0,Suburban,27,465161
1815,4,2,1,2,Rural,23,234820
1837,5,2,2,1,Rural,35,235058
1142,1,2,2,3,Rural,38,127788
875,2,4,2,0,Suburban,48,110727
3521,5,4,3,1,Urban,20,460952
2539,2,2,3,1,Urban,10,325657
2082,4,2,1,2,Urban,44,258799
1288,1,2,2,0,Suburban,46,133479
1811,3,1,1,3,Urban,10,253672
1439,1,2,2,3,Suburban,10,201706
726,3,4,2,1,Suburban,31,132120
1577,1,1,1,2,Urban,34,179900
608,1,1,1,2,Suburban,50,60371
2542,3,2,1,2,Urban,45,290870
3889,4,3,2,1,Urban,19,472112
1705,4,1,1,1,Suburban,14,226284
2119,5,4,2,2,Rural,25,288159
3648,2,2,1,2,Suburban,47,380868
1109,2,2,3,1,Rural,29,147572
1813,3,3,2,3,Rural,30,230603
3015,2,3,3,2,Rural,23,357525
3773,1,3,3,2,Rural,12,429398
1167,1,4,3,2,Suburban,42,156270
3110,3,2,2,0,Urban,33,357684
1872,3,1,3,2,Suburban,49,217560
3965,2,3,1,3,Urban,6,473532
1187,3,2,2,2,Suburban,16,178108
3151,4,2,1,2,Suburban,45,350361
3763,2,3,2,3,Urban,42,425208
1390,3,3,2,2,Rural,44,174095
1699,3,2,3,1,Rural,34,212646
1063,1,1,2,2,Urban,12,159400
1208,4,3,3,0,Rural,32,170214
1140,1,2,3,1,Rural,3,167092
3023,3,3,3,3,Urban,16,399509
2033,1,1,2,2,Suburban,11,241156
1041,4,1,2,3,Suburban,19,175167
2995,3,3,2,2,Urban,3,394054
776,2,3,3,3,Urban,17,161245
3513,4,1,2,2,Rural,13,413985
2931,2,3,3,1,Urban,29,354479
3836,4,1,2,2,Urban,1,474075
2995,5,4,3,3,Urban,0,436985
3005,5,3,2,1,Urban,21,391949
839,1,3,1,2,Urban,47,111262
1836,1,4,2,3,Rural,50,209449
2843,1,2,1,1,Suburban,46,283333
2170,3,3,2,0,Suburban,11,280258
2378,5,4,3,3,Rural,8,345875
1364,5,2,3,3,Suburban,34,212174
1186,2,4,1,0,Suburban,15,168527
1582,1,4,1,2,Urban,6,233806
2369,2,3,3,2,Rural,46,266676
2695,3,4,2,1,Urban,25,345273
923,2,2,1,0,Rural,7,128419
3035,3,1,1,2,Rural,49,313748
868,2,4,1,1,Suburban,23,136008
2804,2,3,1,2,Urban,3,359116
3826,3,1,2,3,Rural,46,404967
1016,4,2,1,0,Urban,45,137825
2801,2,4,2,0,Urban,37,330631
1651,1,3,3,2,Suburban,36,206523
3030,5,3,2,3,Suburban,5,406247
3943,2,4,1,0,Rural,15,434608
965,2,4,2,2,Rural,17,158272
3262,3,4,2,2,Rural,25,390376
1729,1,2,2,2,Urban,10,229408
3919,2,4,1,1,Rural,38,419775
1981,5,4,3,1,Rural,33,276150
3208,3,1,1,3,Rural,3,373140
3181,3,1,1,1,Rural,9,361037
1963,4,1,2,3,Urban,28,266948
2849,1,3,1,1,Urban,7,343155
1070,4,2,1,1,Suburban,6,179123
2915,2,4,1,1,Urban,1,376405
2301,5,3,1,2,Urban,32,307744
3222,5,3,3,3,Rural,50,380854
3542,5,1,1,1,Suburban,15,420946
3227,3,2,3,1,Urban,18,399421
3307,5,2,1,3,Rural,8,414823
2584,4,2,2,2,Rural,29,312247
2590,3,2,2,3,Suburban,7,341919
1958,4,1,3,0,Suburban,34,238425
1605,5,2,2,3,Rural,50,202745
2888,5,1,1,3,Urban,49,337439
858,2,4,2,1,Rural,25,129191
2896,1,4,2,0,Suburban,44,312071
1907,5,4,2,1,Rural,7,286121
2279,3,4,1,3,Urban,49,285879
629,1,4,1,0,Urban,38,91710
844,1,1,2,0,Rural,36,76887
1654,4,4,3,0,Rural,44,218583
660,4,4,2,0,Urban,29,143726
1111,3,1,2,0,Urban,2,179765
2196,1,1,1,1,Urban,17,249500
1699,3,1,1,0,Urban,14,219701
1634,3,4,3,3,Urban,18,261483
1496,5,1,2,2,Rural,49,187422
639,1,1,2,1,Suburban,49,61004
1693,4,3,3,3,Suburban,14,263003
724,4,1,2,0,Rural,24,105803
3350,2,1,3,3,Urban,9,414692
3417,4,1,1,0,Rural,31,366166
1659,3,3,2,3,Suburban,2,258531
3882,3,4,3,3,Suburban,3,497205
768,2,1,1,2,Urban,32,112497
1703,4,2,2,2,Suburban,31,228978
808,1,3,1,2,Rural,45,82087
2269,1,1,2,2,Suburban,32,250388
2632,4,4,3,0,Suburban,47,315859
2520,1,2,3,3,Rural,48,266383
2637,1,4,3,2,Urban,28,329520
3658,4,4,2,2,Suburban,33,435736
2153,1,1,3,0,Urban,48,228897
799,4,4,1,3,Rural,16,155029
908,2,4,1,2,Rural,19,139911
3849,5,1,1,3,Urban,10,477432
2671,1,4,1,2,Suburban,0,335022
883,3,3,3,1,Rural,22,147962
1124,2,3,1,2,Suburban,14,170549
3425,5,3,3,3,Rural,42,411355
1266,4,1,2,1,Suburban,11,191677
1734,4,2,1,0,Urban,7,254141
2699,4,4,1,3,Suburban,37,337277
1175,4,1,3,3,Urban,33,192735
2386,2,4,2,2,Rural,47,268175
1421,1,1,1,3,Urban,29,172330
3894,5,3,3,1,Urban,41,471086
2773,5,3,1,1,Rural,32,332971
3624,3,2,1,2,Suburban,22,410873
3415,3,2,1,1,Rural,40,361688
3587,2,3,2,0,Rural,2,418568
3111,2,4,1,1,Urban,21,374198
1996,5,4,2,1,Suburban,32,282749
2722,4,1,1,2,Urban,0,353710
1660,1,4,2,1,Urban,23,226054
3725,4,1,2,0,Suburban,23,425379
3623,3,2,3,3,Urban,14,447495
2650,2,3,1,3,Rural,20,308775
3196,4,3,2,3,Rural,35,375426
2613,4,4,2,1,Rural,1,348434
2560,5,2,3,2,Suburban,44,318573
1334,3,1,2,0,Rural,50,131479
3737,5,3,2,0,Suburban,41,431307
3838,1,3,2,1,Rural,13,423700
3820,3,1,2,2,Rural,13,429011
2380,4,3,3,0,Suburban,33,304727
1215,5,3,3,1,Suburban,22,210396
940,4,1,3,1,Rural,9,159422
1080,4,2,1,0,Suburban,8,168805
